county,acres,rank,color
Appling,15234,1,#C52E19
Baker,7121,3,#54D8B1
Baldwin,5440,4,#b67c3b
Banks,3623,5,#175149
Bartow,5594,4,#b67c3b
Berrien,4604,4,#b67c3b
Bibb,4198,4,#b67c3b
Brooks,14723,1,#C52E19
Bryan,11157,2,#AC9765
Bulloch,12379,2,#AC9765
Burke,28514,1,#C52E19
Butts,1163,6,#AF4E24
Calhoun,6974,3,#54D8B1
Camden,4052,4,#b67c3b
Campbell,2198,5,#175149
Carroll,4238,4,#b67c3b
Catoosa,672,6,#AF4E24
Charlton,4799,4,#b67c3b
Chatham,6308,3,#54D8B1
Chattahoochee,4879,4,#b67c3b
Chattooga,3508,5,#175149
Cherokee,4175,4,#b67c3b
Clarke,5184,4,#b67c3b
Clay,5859,3,#54D8B1
Clayton,1603,6,#AF4E24
Clinch,5273,4,#b67c3b
Cobb,7373,3,#54D8B1
Coffee,22718,1,#C52E19
Colquitt,277,6,#AF4E24
Columbia,6158,3,#54D8B1
Coweta,5238,4,#b67c3b
Crawford,9238,2,#AC9765
Dade,468,6,#AF4E24
Dawson,560,6,#AF4E24
Decatur,41520,1,#C52E19
Dekalb,1768,6,#AF4E24
Dodge,15901,1,#C52E19
Dooly,11338,2,#AC9765
Dougherty,10817,2,#AC9765
Douglas,5344,4,#b67c3b
Early,18536,1,#C52E19
Echols,3013,5,#175149
Effingham,11216,2,#AC9765
Elbert,9500,2,#AC9765
Emanuel,20467,1,#C52E19
Fannin,130,6,#AF4E24
Fayette,1563,6,#AF4E24
Floyd,12032,2,#AC9765
Forsyth,1950,6,#AF4E24
Franklin,3315,5,#175149
Fulton,1141,6,#AF4E24
Gilmer,680,6,#AF4E24
Glascock,298,6,#AF4E24
Glynn,15509,1,#C52E19
Gordon,2500,5,#175149
Greene,7477,3,#54D8B1
Gwinnett,2714,5,#175149
Habersham,2510,5,#175149
Hall,3534,5,#175149
Hancock,20861,1,#C52E19
Haralson,2221,5,#175149
Harris,12248,2,#AC9765
Hart,2806,5,#175149
Heard,3217,5,#175149
Henry,3899,4,#b67c3b
Houston,14204,1,#C52E19
Irwin,12384,2,#AC9765
Jackson,5414,4,#b67c3b
Jasper,5785,3,#54D8B1
Jefferson,8100,3,#54D8B1
Johnson,3656,5,#175149
Jones,12399,2,#AC9765
Laurens,19638,1,#C52E19
Lee,15319,1,#C52E19
Liberty,44601,1,#C52E19
Lincoln,3660,5,#175149
Lowndes,21749,1,#C52E19
Lumpkin,1948,6,#AF4E24
Macon,7897,3,#54D8B1
Madison,3233,5,#175149
Marion,3854,4,#b67c3b
McDuffie,4492,4,#b67c3b
McIntosh,13760,2,#AC9765
Meriwether,5221,4,#b67c3b
Miller,9952,2,#AC9765
Milton,317,6,#AF4E24
Mitchell,17692,1,#C52E19
Monroe,12516,2,#AC9765
Montgomery,13836,1,#C52E19
Morgan,5764,4,#b67c3b
Murray,250,6,#AF4E24
Muscogee,5997,3,#54D8B1
Newton,4209,4,#b67c3b
Oconee,2758,5,#175149
Oglethorpe,9541,2,#AC9765
Paulding,3098,5,#175149
Pickens,745,6,#AF4E24
Pierce,6645,3,#54D8B1
Pike,4149,4,#b67c3b
Polk,8289,3,#54D8B1
Pulaski,14071,1,#C52E19
Putnam,6554,3,#54D8B1
Quitman,2233,5,#175149
Rabun,881,6,#AF4E24
Randolph,8041,3,#54D8B1
Richmond,6207,3,#54D8B1
Rockdale,2448,5,#175149
Schley,2386,5,#175149
Screven,14738,1,#C52E19
Spalding,3582,5,#175149
Stewart,13745,2,#AC9765
Sumter,13799,1,#C52E19
Talbot,8948,3,#54D8B1
Taliaferro,7425,3,#54D8B1
Tattnall,15228,1,#C52E19
Taylor,8955,2,#AC9765
Telfair,9799,2,#AC9765
Terrell,10452,2,#AC9765
Thomas,22947,1,#C52E19
Towns,480,6,#AF4E24
Troup,8331,3,#54D8B1
Twiggs,7998,3,#54D8B1
Union,164,6,#AF4E24
Upson,8514,3,#54D8B1
Walker,2684,5,#175149
Walton,4772,4,#b67c3b
Ware,1019,6,#AF4E24
Warren,2189,6,#AF4E24
Washington,11147,2,#AC9765
Wayne,11479,2,#AC9765
Webster,4479,4,#b67c3b
White,1026,6,#AF4E24
Whitfield,2773,5,#175149
Wilcox,9470,2,#AC9765
Wilkes,13700,2,#AC9765
Wilkinson,6900,3,#54D8B1
Worth,7575,3,#54D8B1
